Ticker,Total-Score,Beta,Sector,Price
A,14.44,1.122,Healthcare,138.80450439453125
AAL,27.725,1.569,Industrials,13.739999771118164
AAPL,17.22,1.276,Technology,192.28463745117188
ABBV,29.93,0.564,Healthcare,152.08306884765625
ABT,24.83,0.74,Healthcare,109.00023651123047
ACGL,21.605,,Financial Services,74.2699966430664
ACN,9.84,1.181,Technology,348.2846984863281
ADBE,13.08,1.272,Technology,596.5999755859375
ADI,22.92,1.164,Technology,197.6287384033203
ADM,31.79,0.769,Consumer Defensive,71.54340362548828
ADP,13.82,0.785,Industrials,231.63197326660156
ADSK,16.405,1.417,Technology,243.47999572753906
AEE,28.35,0.449,Utilities,71.68191528320312
AEP,26.14,0.508,Utilities,80.29573822021484
AES,30.42,1.087,Utilities,19.053756713867188
AFL,18.33,0.914,Financial Services,81.9803466796875
AIG,24.18,1.028,Financial Services,67.4286117553711
AIZ,24.295,0.508,Financial Services,167.77345275878906
AJG,21.22,0.68,Financial Services,224.33033752441406
AKAM,16.78,0.703,Technology,118.3499984741211
ALB,27.685,1.646,Basic Materials,144.02056884765625
ALL,22.04,0.513,Financial Services,139.1726837158203
ALLE,22.75,1.134,Industrials,126.23194885253906
AMAT,12.74,1.583,Technology,161.79580688476562
AME,23.99,1.216,Industrials,164.63401794433594
AMGN,21.96,0.595,Healthcare,285.785888671875
AMP,21.44,1.347,Financial Services,378.519775390625
AMT,10.9,0.674,Real Estate,213.95802307128906
AMZN,30.61,1.16,Consumer Cyclical,151.94000244140625
ANET,16.535,1.108,Technology,235.50999450683594
ANSS,14.47,1.15,Technology,362.8800048828125
AON,23.0,0.853,Financial Services,206.05653381347656
AOS,25.435,1.253,Industrials,81.80110931396484
APA,38.81,3.306,Energy,25.41090202331543
APD,12.26,0.812,Basic Materials,271.80645751953125
APH,20.46,1.31,Technology,98.93046569824219
APTV,11.085,1.904,Consumer Cyclical,89.72000122070312
ARE,13.87,1.068,Real Estate,125.47361755371094
ATO,34.7,0.663,Utilities,115.08294677734375
AVB,9.76,0.933,Real Estate,185.4583740234375
AVGO,19.98,1.268,Technology,1111.516357421875
AVY,15.725,0.921,Consumer Cyclical,201.40235900878906
AWK,21.755000000000003,0.624,Utilities,131.22727966308594
AXP,18.61,1.227,Financial Services,186.15992736816406
AZO,11.03,0.705,Consumer Cyclical,2585.610107421875
BA,39.6,1.527,Industrials,260.6600036621094
BAC,28.3,1.388,Financial Services,33.43447494506836
BALL,11.455,0.893,Consumer Cyclical,57.33687210083008
BAX,23.57,0.634,Healthcare,38.390235900878906
BBWI,21.9,1.876,Consumer Cyclical,42.97404479980469
BBY,15.02,1.506,Consumer Cyclical,77.33939361572266
BDX,23.82,0.458,Healthcare,242.84681701660156
BEN,18.24,1.417,Financial Services,29.14190101623535
BG,33.505,0.651,Consumer Defensive,100.20234680175781
BIIB,22.24,-0.009,Healthcare,258.7699890136719
BIO,17.134999999999998,0.88,Healthcare,322.8900146484375
BK,20.93,1.113,Financial Services,51.27556610107422
BKNG,19.23,1.402,Consumer Cyclical,3538.165771484375
BLK,18.25,1.37,Financial Services,806.7933959960938
BMY,22.74,0.39,Healthcare,50.13813018798828
BR,16.42,0.982,Technology,204.93907165527344
BRO,20.955,0.781,Financial Services,70.99080657958984
BSX,23.11,0.793,Healthcare,57.810001373291016
BWA,12.685,1.285,Consumer Cyclical,35.72187805175781
BX,23.51,1.486,Financial Services,129.05572509765625
BXP,12.51,1.165,Real Estate,69.0439682006836
C,29.24,1.496,Financial Services,50.953678131103516
CAG,31.28,0.389,Consumer Defensive,28.002408981323242
CAH,14.86,0.697,Healthcare,100.35126495361328
CAT,36.17,1.164,Industrials,293.23760986328125
CB,23.6,0.627,Financial Services,225.25306701660156
CBOE,20.95,0.59,Financial Services,178.55999755859375
CBRE,7.41,1.424,Real Estate,93.08999633789062
CCI,10.1,0.749,Real Estate,113.55250549316406
CCL,24.49,2.551,Consumer Cyclical,18.540000915527344
CDNS,12.105,1.032,Technology,272.3699951171875
CDW,9.22,1.084,Technology,226.7506866455078
CE,27.7,1.349,Basic Materials,153.9514617919922
CF,29.68,1.016,Basic Materials,78.98390197753906
CFG,23.5,1.354,Financial Services,32.73373031616211
CHD,19.825,0.524,Consumer Defensive,94.28562927246094
CHRW,19.695,0.743,Industrials,85.68159484863281
CHTR,24.72,0.951,Communication Services,388.67999267578125
CI,12.775,0.576,Healthcare,220.91964721679688
CINF,25.615,0.624,Financial Services,102.76106262207031
CL,26.17,0.406,Consumer Defensive,78.77974700927734
CLX,21.385,0.422,Consumer Defensive,140.22225952148438
CMA,25.58,1.283,Financial Services,55.04341125488281
CMCSA,23.09,0.967,Communication Services,43.2406120300293
CME,17.8,0.486,Financial Services,209.49758911132812
CMG,22.15,1.301,Consumer Cyclical,2286.9599609375
CMI,19.3,1.043,Industrials,238.040771484375
CMS,21.495,0.38,Utilities,57.53852462768555
CNC,20.25,0.391,Healthcare,74.20999908447266
CNP,27.145,0.932,Utilities,28.36176300048828
COF,22.5,1.471,Financial Services,130.53887939453125
COO,18.485,0.947,Healthcare,94.61000061035156
COP,33.91,1.275,Energy,115.24785614013672
COR,12.75,0.465,Healthcare,204.93930053710938
COST,23.29,0.761,Consumer Defensive,658.054931640625
CPB,23.525,0.23,Consumer Defensive,42.515377044677734
CPRT,17.04,1.213,Industrials,49.0
CPT,16.015,0.851,Real Estate,98.22801971435547
CRM,14.88,1.279,Technology,263.1400146484375
CSCO,13.87,0.852,Technology,49.72368621826172
CSGP,24.425,0.834,Real Estate,87.38999938964844
CSX,21.91,1.173,Industrials,34.56039810180664
CTAS,18.165,1.263,Industrials,601.3173217773438
CTRA,41.045,0.2,Energy,25.317842483520508
CTSH,14.66,1.066,Technology,75.23957061767578
CVS,21.97,0.511,Healthcare,77.49937438964844
CVX,36.6,1.129,Energy,147.5499725341797
D,26.4,0.608,Utilities,46.350650787353516
DAL,30.26,1.428,Industrials,40.13448715209961
DD,28.6,1.285,Basic Materials,76.50997924804688
DE,19.95,1.047,Industrials,398.39501953125
DFS,22.5,1.436,Financial Services,111.76763153076172
DG,17.475,0.411,Consumer Defensive,134.85862731933594
DGX,21.095,0.893,Healthcare,137.8800048828125
DHI,21.385,1.643,Consumer Cyclical,151.6696014404297
DHR,11.86,0.86,Healthcare,231.08859252929688
DIS,15.7,1.388,Communication Services,90.29000091552734
DLR,12.61,0.558,Real Estate,133.4392547607422
DLTR,17.474999999999998,0.9,Consumer Defensive,142.0500030517578
DOV,25.575,1.274,Industrials,153.3319549560547
DPZ,30.105,0.863,Consumer Cyclical,410.8543395996094
DRI,27.73,1.257,Consumer Cyclical,161.63534545898438
DTE,29.945,0.646,Utilities,109.23188781738281
DUK,27.01,0.465,Utilities,95.95103454589844
DVA,22.56,1.048,Healthcare,104.76000213623047
DVN,35.224999999999994,2.22,Energy,44.879581451416016
DXCM,23.875,1.207,Healthcare,124.08999633789062
EA,13.29,0.773,Communication Services,136.627685546875
EBAY,17.6,1.324,Consumer Cyclical,43.38806915283203
ECL,19.86,1.099,Basic Materials,197.85128784179688
ED,23.45,0.353,Utilities,90.12589263916016
EFX,24.46,1.506,Industrials,246.91476440429688
EG,17.96,,Financial Services,352.0050048828125
EIX,27.51,0.967,Utilities,70.6727294921875
EL,25.48,1.071,Consumer Defensive,145.6000518798828
EMN,24.935,1.557,Basic Materials,89.0378646850586
EMR,28.36,1.367,Industrials,96.84902954101562
EOG,34.16,1.414,Energy,119.19440460205078
EQIX,13.88,0.581,Real Estate,801.4806518554688
EQR,11.535,0.854,Real Estate,60.509361267089844
EQT,36.165,1.138,Energy,38.4828987121582
ES,18.675,0.597,Utilities,60.964481353759766
ESS,12.385,0.818,Real Estate,245.38478088378906
ETN,17.94,1.079,Industrials,240.06826782226562
ETR,28.12,0.705,Utilities,100.03219604492188
EW,18.95,1.074,Healthcare,76.25
EXC,22.86,0.607,Utilities,35.51936721801758
EXPD,16.189999999999998,0.984,Industrials,127.19999694824219
EXPE,26.675,1.858,Consumer Cyclical,151.7899932861328
EXR,14.64,0.748,Real Estate,158.57313537597656
F,22.35,1.626,Consumer Cyclical,11.869720458984375
FAST,25.535,1.034,Industrials,64.03242492675781
FCX,31.775,2.061,Basic Materials,42.28999710083008
FDS,19.405,0.71,Financial Services,476.03704833984375
FDX,19.68,1.223,Industrials,251.69625854492188
FE,27.535,0.479,Utilities,36.245018005371094
FFIV,18.165,,Technology,178.97999572753906
FI,19.64,0.92,Technology,132.83999633789062
FIS,17.48,0.977,Technology,59.76031494140625
FITB,17.14,1.271,Financial Services,34.15496063232422
FMC,31.735,0.875,Basic Materials,62.464332580566406
FOXA,50.39666666666667,0.792,Communication Services,34.7552375793457
FRT,12.748,1.238,Real Estate,123.72677612304688
FTNT,19.015,1.07,Technology,58.529998779296875
FTV,34.76,1.175,Technology,73.56021118164062
GD,35.19,0.676,Industrials,257.0342102050781
GE,40.55,1.235,Industrials,101.67865753173828
GEN,15.96,1.091,Technology,22.68620491027832
GILD,22.97,0.203,Healthcare,80.18859100341797
GIS,21.13,0.142,Consumer Defensive,64.00140380859375
GL,20.3,0.68,Financial Services,121.23199462890625
GLW,16.48,1.089,Technology,30.187095642089844
GM,28.5,1.511,Consumer Cyclical,35.81391143798828
GOOGL,24.22,1.054,Communication Services,139.69000244140625
GPC,13.14,0.966,Consumer Cyclical,137.58731079101562
GPN,19.950000000000003,0.961,Industrials,126.7630615234375
GRMN,19.6,0.998,Technology,127.90747833251953
GS,25.45,1.418,Financial Services,383.0554504394531
GWW,15.3,1.159,Industrials,828.6900024414062
HAL,25.63,2.032,Energy,35.97531509399414
HAS,7.095000000000001,0.696,Consumer Cyclical,50.35475158691406
HBAN,21.11,1.115,Financial Services,12.569035530090332
HCA,28.84,1.672,Healthcare,270.125
HD,12.64,0.983,Consumer Cyclical,344.4896240234375
HES,34.58,1.275,Energy,143.74090576171875
HIG,16.4,0.883,Financial Services,79.98580932617188
HLT,17.5,1.259,Consumer Cyclical,181.9527587890625
HOLX,26.62,1.016,Healthcare,71.44999694824219
HON,28.62,1.013,Industrials,208.5636444091797
HPE,10.69,1.222,Technology,16.856679916381836
HPQ,11.26,1.063,Technology,29.820886611938477
HRL,29.955,0.283,Consumer Defensive,31.5662841796875
HSIC,13.66,0.86,Healthcare,75.70999908447266
HST,13.645,1.327,Real Estate,19.27789306640625
HSY,26.74,0.329,Consumer Defensive,185.11367797851562
HUBB,22.445,0.934,Industrials,327.8380126953125
HUM,22.47,0.463,Healthcare,456.6470031738281
IBM,14.14,0.714,Technology,162.07240295410156
ICE,19.78,1.022,Financial Services,128.00958251953125
IDXX,19.055,1.259,Healthcare,555.0499877929688
IEX,28.08,0.967,Industrials,216.44712829589844
IFF,22.5,1.237,Basic Materials,80.58406066894531
ILMN,14.77,1.192,Healthcare,139.24000549316406
INCY,24.44,0.672,Healthcare,62.790000915527344
INTC,18.87,1.01,Technology,50.1031379699707
INTU,16.41,1.223,Technology,623.2195434570312
IP,24.09,0.975,Consumer Cyclical,35.68169021606445
IPG,10.375,1.119,Communication Services,32.30064392089844
IQV,19.14,1.521,Healthcare,231.3800048828125
IR,23.676666666666662,1.416,Industrials,45.402156829833984
IRM,14.62,0.977,Real Estate,69.41212463378906
ISRG,21.07,1.385,Healthcare,337.3599853515625
IT,20.355,1.287,Technology,451.1099853515625
ITW,25.29,1.137,Industrials,260.5587158203125
IVZ,21.56,1.419,Financial Services,17.609210968017578
J,23.46,0.729,Industrials,118.82064819335938
JBHT,14.34,1.128,Industrials,199.3389892578125
JCI,14.43,1.259,Industrials,57.31078338623047
JKHY,17.055,0.651,Technology,162.89442443847656
JNJ,23.98,0.528,Healthcare,155.55889892578125
JNPR,15.705,0.975,Technology,29.304948806762695
JPM,29.26,1.117,Financial Services,168.07713317871094
K,28.37,0.411,Consumer Defensive,55.35199737548828
KEY,22.28,1.274,Financial Services,14.192987442016602
KEYS,8.455,1.055,Technology,159.08999633789062
KHC,33.7,0.672,Consumer Defensive,36.561553955078125
KIM,11.52,1.451,Real Estate,21.050121307373047
KLAC,16.990000000000002,1.338,Technology,580.0108642578125
KMB,28.48,0.413,Consumer Defensive,120.32225799560547
KMI,18.96,0.89,Energy,17.085063934326172
KMX,12.1,1.598,Consumer Cyclical,76.73999786376953
KO,21.63,0.586,Consumer Defensive,58.46237564086914
KR,21.27,0.48,Consumer Defensive,45.41910934448242
L,16.43,0.822,Financial Services,69.53102111816406
LDOS,14.66,0.689,Technology,107.91883850097656
LEN,24.235,1.526,Consumer Cyclical,148.0699920654297
LH,19.275,0.995,Healthcare,226.54327392578125
LKQ,10.805,1.282,Consumer Cyclical,47.51375961303711
LLY,24.28,0.367,Healthcare,581.9000244140625
LMT,30.18,0.467,Industrials,449.93878173828125
LNT,21.615,0.54,Utilities,50.30770492553711
LOW,11.78,1.124,Consumer Cyclical,220.3831329345703
LRCX,13.53,1.501,Technology,781.5777587890625
LULU,16.94,1.295,Consumer Cyclical,511.2900085449219
LUV,30.67,1.144,Industrials,28.8799991607666
LVS,18.69,1.157,Consumer Cyclical,49.01502990722656
LYB,20.69,1.197,Basic Materials,93.89482116699219
MA,17.07,1.068,Financial Services,425.24981689453125
MAA,13.865,0.794,Real Estate,131.48825073242188
MAR,21.43,1.62,Consumer Cyclical,225.0272979736328
MAS,22.315,1.264,Industrials,66.7174072265625
MCD,25.95,0.708,Consumer Cyclical,294.8325500488281
MCHP,31.4,1.625,Technology,89.69388580322266
MCK,15.23,0.45,Healthcare,462.431884765625
MCO,13.16,1.261,Financial Services,389.6767578125
MDLZ,22.02,0.57,Consumer Defensive,71.99049377441406
MDT,22.77,0.783,Healthcare,81.70362854003906
MET,16.43,1.033,Financial Services,65.60858154296875
META,34.08,1.184,Communication Services,353.5848388671875
MGM,25.125,2.202,Consumer Cyclical,44.68000030517578
MHK,14.155,1.337,Consumer Cyclical,103.5
MKC,26.325,0.728,Consumer Defensive,68.04391479492188
MLM,30.97,0.946,Basic Materials,498.27093505859375
MMC,21.07,0.896,Financial Services,188.13436889648438
MNST,29.23,0.711,Consumer Defensive,57.61000061035156
MO,31.32,0.695,Consumer Defensive,39.460506439208984
MOS,33.790000000000006,1.521,Basic Materials,35.48981857299805
MPC,30.49,1.527,Energy,147.6400604248047
MRK,21.39,0.398,Healthcare,108.33282470703125
MRO,39.865,2.24,Energy,24.046329498291016
MS,24.58,1.405,Financial Services,91.49982452392578
MSCI,16.14,1.045,Financial Services,564.0700073242188
MSFT,15.06,0.877,Technology,375.34588623046875
MSI,13.72,0.909,Technology,312.1972351074219
MTB,26.53,0.782,Financial Services,135.80474853515625
MTD,13.21,1.151,Healthcare,1212.9599609375
MU,18.18,1.277,Technology,85.25769805908203
NCLH,26.08,2.608,Consumer Cyclical,20.040000915527344
NDAQ,12.37,0.938,Financial Services,58.13999938964844
NDSN,25.775,0.997,Industrials,264.1600036621094
NEE,23.27,0.515,Utilities,60.7400016784668
NEM,20.425,0.538,Basic Materials,41.38999938964844
NFLX,16.41,1.218,Communication Services,486.8800048828125
NI,27.765,0.491,Utilities,26.549999237060547
NKE,19.61,1.086,Consumer Cyclical,108.56999969482422
NOC,27.53,0.34,Industrials,468.1400146484375
NOW,16.32,0.957,Technology,706.489990234375
NRG,32.065,1.134,Utilities,51.70000076293945
NSC,23.92,1.292,Industrials,236.3800048828125
