,Expected Returns
A,0.1418554331037558
AAL,-0.17377975160193604
AAPL,0.33114197067395623
ABBV,0.2085833382951272
ABT,0.0919452407678849
ACGL,0.18355447804869263
ACN,0.16751124874125978
ADBE,0.17314150751566948
ADI,0.1467808399221293
ADM,0.1419725978255979
ADP,0.11103718337227941
ADSK,0.07475621178027247
AEE,0.02825415753152316
AEP,0.025930612673657816
AES,0.0583110809079479
AFL,0.14034123085093264
AIG,0.11319947063343583
AIZ,0.1555865525846034
AJG,0.2584419505877962
AKAM,0.08460927197289037
ALB,0.16803390300037435
ALL,0.10734597968008219
ALLE,0.067599520101701
AMAT,0.3415517723652006
AME,0.15667311925749372
AMGN,0.14636553225397853
AMP,0.2522938808779478
AMT,0.04905584257251716
AMZN,0.10452975920705421
ANET,0.26878278373577835
ANSS,0.14563205405521784
AON,0.12548735671235423
AOS,0.12170597650719661
APA,-0.044338262407968225
APD,0.0923390301194087
APH,0.1702591978205097
APTV,0.0174144900108546
ARE,0.006701955625103562
ATO,0.0535373778192032
AVB,0.019745163450887393
AVGO,0.3530207754078598
AVY,0.16266515881875176
AWK,0.06391664137730557
AXP,0.12143148832530959
AZO,0.2197805011985987
BA,-0.07128006214101679
BAC,0.04907755397407931
BALL,-0.20548300638614092
BAX,-0.118636595021959
BBWI,0.12346902060186737
BBY,0.049374790689528325
BDX,0.026907505815911614
BEN,0.013801763161339187
BG,0.187884587478363
BIIB,0.026078251227138027
BIO,0.018027985246120704
BK,0.04180765947935017
BKNG,0.15257848497430415
BLK,0.14982867267676792
BMY,0.05306188559882474
BR,0.14870212101124403
BRO,0.20153403293791539
BSX,0.10442993389683619
BWA,0.015102263879007705
BX,0.33828199336661036
BXP,-0.09432897736142509
C,-0.027969941431108307
CAG,0.02223677444373995
CAH,0.21526726694814813
CAT,0.20519515332940252
CB,0.12274396790240738
CBOE,0.14724314510782133
CBRE,0.13546831582123708
CCI,0.02189937889450122
CCL,-0.20310710369417218
CDNS,0.34435054419335076
CDW,0.1883452549198681
CE,0.1096644379105507
CF,0.16843132783916492
CFG,0.027903218471292623
CHD,0.06800995955087186
CHRW,0.040660173975784586
CHTR,0.010011063712635826
CI,0.14704426179664676
CINF,0.04532001671745722
CL,0.048149069491588925
CLX,0.018489546562866055
CMA,-0.01927842454275719
CMCSA,0.02487384375157342
CME,0.08115306153357627
CMG,0.2936172853778738
CMI,0.11306959459234278
CMS,0.04182995487089625
CNC,0.08964237357604588
CNP,0.01444606353255895
COF,0.09778933676846435
COO,0.06096813190814432
COP,0.18505246747350257
COR,0.26770119202774634
COST,0.2635733313251496
CPB,0.057447902989921085
CPRT,0.26289589664788005
CPT,0.03064329426015977
CRM,0.10942052211980924
CSCO,0.009085411374026853
CSGP,0.12915841456862887
CSX,0.0744109966151496
CTAS,0.25944967047945244
CTRA,0.23168778669816215
CTSH,0.024738170346371824
CVS,0.10061522821163793
CVX,0.10035291067058494
D,-0.06142498653040251
DAL,-0.06752875592920327
DD,0.01390536249355745
DE,0.22736441803141272
DFS,0.09887014879526723
DG,0.029633489833604587
DGX,0.09300442735353687
DHI,0.31677844042424863
DHR,0.1629543075960218
DIS,-0.08226391087991891
DLR,0.06777823265875593
DLTR,0.05709302093805868
DOV,0.12101531693708267
DPZ,0.10549169721733098
DRI,0.10616152079576757
DTE,0.04398659833730112
DUK,0.058741870978842314
DVA,0.1455251109670821
DVN,0.14246820885717248
DXCM,0.3593199479978515
EA,0.08591468583383866
EBAY,0.04868459339016096
ECL,0.029420305351219422
ED,0.05279341070439636
EFX,0.16873795046053397
EG,0.081064025670877
EIX,0.08364468624290278
EL,-0.022437166494794873
EMN,0.0655548025135464
EMR,0.10060360393165935
EOG,0.11101929360736418
EQIX,0.15321255128560796
EQR,-0.010946371312630432
EQT,0.16204801500333987
ES,0.0005292367777176565
ESS,0.005218027914037249
ETN,0.2896529113048629
ETR,0.05082244106807576
EW,0.058620353452856655
EXC,0.035406466442568396
